Step	Training Loss
624	1.667500
625	1.872800
626	1.800600
627	1.368000
628	1.747400
629	2.036000
630	1.646200
631	1.785700
632	1.599000
633	1.835700
634	1.945900
635	1.847100
636	1.621800
637	1.852500
638	1.974600
639	1.914500
640	2.022800
641	1.439300
642	1.431200
643	1.830600
644	1.869300
645	1.916300
646	1.775000
647	1.612600
648	1.857200
649	2.008700
650	1.706900
651	1.934500
652	1.829900
653	1.456100
654	1.796500
655	1.886600
656	1.601100
657	1.646800
658	1.575100
659	1.715400
660	2.024800
661	1.644900
662	1.647600
663	1.527800
664	1.844400
665	2.103000
666	1.760900
667	1.844800
668	1.522300
669	1.733300
670	2.028400
671	1.871100
672	1.941400
673	1.846100
674	1.787800
675	1.926900
676	1.711500
677	1.575900
678	1.884200
679	1.711900
680	1.595300
681	1.735300
682	1.430800
683	1.672100
684	1.779100
685	1.514700
686	2.288300
687	1.646000
688	1.858400
689	1.732100
690	1.967200
691	1.572500
692	1.841600
693	1.932700
694	1.856900
695	1.955800
696	1.853900
697	1.807700
698	1.996500
699	1.799000
700	1.845100
701	1.504000
702	1.826200
703	1.938700
704	1.859300
705	1.787300
706	1.807400
707	1.872000
708	2.056900
709	1.921200
710	1.932900
711	1.635900
712	1.883600
713	2.003700
714	1.774100
715	1.973500
716	1.508700
717	1.607700
718	1.668000
719	1.707800
720	1.960500
721	2.029100
722	1.787000
723	1.642100
724	1.875500
725	1.879000
726	1.452800
727	2.015500
728	1.992400
729	2.087300
730	1.592600
731	1.644400
732	1.798100
733	1.345400
734	1.483100
735	1.786100
736	1.936200
737	1.836500
738	1.903900
739	1.900800
740	1.668100
741	1.881800
742	1.691700
743	1.585300
744	1.604000
745	1.892700
746	1.939200
747	1.275900
748	2.007000
749	1.897200
750	1.641800
751	2.132700
752	1.704500
753	1.773000
754	1.652900
755	1.767600
756	1.884000
757	1.941500
758	1.556500
759	1.807500
760	2.087500
761	2.215700
762	1.940300
763	1.684700
764	1.406000
765	1.995800
766	1.713700
767	2.004000
768	1.720300
769	1.655300
770	2.029700
771	1.786100
772	1.963900
773	1.377000
774	1.764100
775	1.833900
776	1.566200
777	1.962200
778	1.591200
779	1.696500
780	1.534400
781	1.794500
782	1.354200
783	1.318800
784	1.791900
785	1.450300
786	1.720200
787	1.626600
788	1.748400
789	1.744400
790	1.683400
791	1.992600
792	1.958100
793	2.032700
794	1.701400
795	1.536100
796	1.774200
797	1.661200
798	1.644200
799	1.871200
800	1.434000
801	1.515300
802	1.732700
803	1.874200
804	1.896300
805	1.751300
806	1.901600
807	1.903600
808	1.489800
809	1.924800
810	1.905100
811	1.706200
812	1.746600
813	1.757700
814	1.347800
815	1.820300
816	1.902400
817	1.744800
818	1.386000
819	1.668200
820	1.807700
821	1.815600
822	1.862200
823	1.766600
824	1.775800
825	1.606900
826	1.814600
827	1.863200
828	2.001200
829	2.127200
830	1.684800
831	2.009800
832	1.755600
833	1.656300
834	1.528600
835	1.892800
836	2.046000
837	1.801000
838	1.740500
839	1.551300
840	1.566600
841	1.933900
842	1.962300
843	1.850400
844	1.737800
845	1.424800
846	2.051100
847	1.833800
848	1.718100
849	1.783400
850	1.971100
851	1.514700
852	1.525600
853	1.712800
854	1.901100
855	1.547200
856	2.022700
857	1.672400
858	1.714200
859	1.535900
860	1.544000
861	1.790500
862	1.852100
863	1.855200
864	1.602700
865	1.941000
866	1.738000
867	1.730000
868	1.514700
869	1.712400
870	1.685400
871	1.874500
872	1.776600
873	1.786700
874	2.037700
875	1.815900
876	1.775600
877	1.877600
878	1.843600
879	1.807700
880	1.744500
881	2.136300
882	1.933400
883	1.892600
884	1.870400
885	1.808800
886	1.876500
887	1.782200
888	1.835800
889	1.849900
890	1.377100
891	1.986500
892	1.791000
893	1.969300
894	1.634000
895	1.516600
896	1.838500
897	1.679200
898	1.834400
899	1.647500
900	1.786800
901	1.974400
902	1.707800
903	1.524000
904	1.843400
905	1.638600
906	1.698500
907	1.541600
908	1.753300
909	1.794500
910	1.845300
911	1.583600
912	1.868300
913	1.617700
914	1.919900
915	1.696900
916	2.019800
917	1.372700
918	2.122300
919	1.890200
920	1.920400
921	1.758900
922	1.693000
923	1.167500
924	1.500700
925	1.896900
926	1.821600
927	2.056100
928	1.913300
929	1.675600
930	1.744500
931	1.709900
932	1.924100
933	1.690200
934	1.430800
935	2.032800
936	1.885700
937	1.990800
938	1.673500
939	1.766100
940	1.840000
941	1.689900
942	1.601600
943	1.943100
944	1.954200
945	2.025700
946	1.830400
947	1.790100
948	1.803400
949	1.337400
950	1.840100
951	1.643200
952	1.189000
953	1.841900
954	1.846800
955	1.955800
956	1.739100
957	1.704000
958	1.864200
959	2.050200
960	2.130500
961	1.752700
962	1.745800
963	1.821000
964	1.605900
965	1.297000
966	1.947800
967	1.532800
968	1.909000
969	2.095800
970	1.970200
971	1.548200
972	1.964100
973	1.777500
974	1.749800
975	1.941900
976	1.894000
977	1.611600
978	1.519000
979	1.603600
980	1.595400
981	1.208800
982	1.701400
983	1.290600
984	1.725400
985	1.953000
986	1.640800
987	1.925100
988	1.757000
989	1.417000
990	1.801900
991	1.983900
992	1.724400
993	1.693200
994	1.822100
995	1.416500
996	1.888400
997	1.514300
998	1.629900
999	1.717800
1000	1.732400
1001	1.854800
1002	1.998700
1003	1.639600
1004	1.939800
1005	1.767600
1006	1.935300
1007	1.821000
1008	1.836900
1009	2.051700
1010	1.593200
1011	1.837800
1012	1.862200
1013	1.699000
1014	1.749900
1015	1.752500
1016	1.821500
1017	1.612400
1018	1.412100
1019	1.483300
1020	1.813400
1021	1.634600
1022	1.595700
1023	1.695100
1024	1.842700
1025	2.007900
1026	1.754900
1027	1.681100
1028	1.713800
1029	1.635900
1030	1.676200
1031	1.611600
1032	1.562700
1033	1.825000
1034	1.689400
1035	1.804300
1036	1.584400
1037	1.838800
1038	1.587800
1039	1.839200
1040	1.827600
1041	1.865100
1042	1.501500
1043	1.903900
1044	1.888300
1045	1.645200
1046	1.891100
1047	1.757400
1048	1.605600
1049	1.882700
1050	1.689100
1051	1.722700
1052	1.876700
1053	1.742500
1054	1.901000
1055	1.638600
1056	1.821700
1057	1.560200
1058	1.641700
1059	1.610800
1060	1.740600
1061	1.775300
1062	1.569500
1063	1.733300
1064	1.741000
1065	1.834800
1066	1.494400
1067	1.644000
1068	2.042300
1069	1.463900
1070	1.735800
1071	1.762300
1072	1.653300
1073	1.490500
