Step	Training Loss
840	1.569500
841	1.934500
842	1.960400
843	1.847900
844	1.740800
845	1.423400
846	2.050800
847	1.833900
848	1.720900
849	1.779300
850	1.967700
851	1.523400
852	1.525100
853	1.720100
854	1.902200
855	1.544300
856	2.027100
857	1.671600
858	1.715600
859	1.540500
860	1.548200
861	1.792700
862	1.850700
863	1.858700
864	1.610400
865	1.947500
866	1.738600
867	1.735500
868	1.516000
869	1.706900
870	1.687600
871	1.873000
872	1.777500
873	1.780400
874	2.034900
875	1.820600
876	1.770900
877	1.884100
878	1.841000
879	1.809000
880	1.741600
881	2.135200
882	1.938400
883	1.879100
884	1.872900
885	1.809200
886	1.878000
887	1.780200
888	1.838800
889	1.854300
890	1.378700
891	1.987700
892	1.800800
893	1.972800
894	1.639500
895	1.508400
896	1.842600
897	1.679900
898	1.833100
899	1.640600
900	1.784300
901	1.976400
902	1.707500
903	1.531900
904	1.840100
905	1.642600
906	1.696300
907	1.535800
908	1.744200
909	1.796200
910	1.843400
911	1.585600
912	1.867700
913	1.614800
914	1.918600
915	1.703700
916	2.022900
917	1.368100
918	2.126000
919	1.893800
920	1.920700
921	1.755800
922	1.699500
923	1.167200
924	1.501800
925	1.894800
926	1.825200
927	2.054200
928	1.916800
929	1.684000
930	1.746500
931	1.708800
932	1.926500
933	1.692200
934	1.437700
935	2.032000
936	1.883200
937	1.987200
938	1.681000
939	1.805800
940	1.838700
941	1.693600
942	1.601800
943	1.944400
944	1.955700
945	2.030700
946	1.900500
947	1.790400
948	1.806000
949	1.337200
950	1.835400
951	1.648200
952	1.199600
953	1.844800
954	1.838500
955	1.960900
956	1.741500
957	1.700100
958	1.866700
959	2.048600
960	2.158800
961	1.759800
962	1.750300
963	1.821800
964	1.606100
965	1.302900
966	1.949400
967	1.528600
968	1.912800
969	2.093900
970	1.972800
971	1.548700
972	1.963200
973	1.780600
974	1.748200
975	1.931800
976	1.889300
977	1.607000
978	1.520400
979	1.608000
980	1.607800
981	1.225800
982	1.707500
983	1.288100
984	1.718500
985	1.948400
986	1.648100
987	1.927200
988	1.756300
989	1.422100
990	1.812900
991	1.991100
992	1.728800
993	1.695100
994	1.834000
995	1.439400
996	1.886400
997	1.513100
998	1.630100
999	1.717200
1000	1.731200
1001	1.851500
1002	2.001500
1003	1.632100
1004	1.938900
1005	1.770000
1006	1.937700
1007	1.820300
1008	1.838800
1009	2.052900
1010	1.588400
1011	1.838400
1012	1.861800
1013	1.699000
1014	1.745500
1015	1.751200
1016	1.815900
1017	1.611200
1018	1.412700
1019	1.489200
1020	1.815800
1021	1.633900
1022	1.594300
1023	1.698800
1024	1.844700
1025	1.997800
1026	1.698900
1027	1.687700
1028	1.713300
1029	1.640200
1030	1.677400
1031	1.615500
1032	1.562900
1033	1.825400
1034	1.684500
1035	1.803900
1036	1.585700
1037	1.826700
1038	1.585800
1039	1.839300
1040	1.832800
1041	1.865200
1042	1.500000
1043	1.909100
1044	1.891900
1045	1.641300
1046	1.891500
1047	1.759800
1048	1.599100
1049	1.875200
1050	1.684200
1051	1.733100
1052	1.880600
1053	1.744000
1054	1.898400
1055	1.636400
1056	1.831300
1057	1.562100
1058	1.645200
1059	1.613100
1060	1.743500
1061	1.774000
1062	1.571800
1063	1.730800
1064	1.745300
1065	1.825900
1066	1.499400
1067	1.636400
1068	2.049800
1069	1.459900
1070	1.730100
1071	1.756200
1072	1.656700
1073	1.494000
1074	1.860200
1075	1.947100
1076	1.810400
1077	2.029700
1078	1.687000
1079	1.624500
1080	1.760400
1081	1.771800
1082	1.794600
1083	1.719600
1084	1.645000
1085	1.628000
1086	1.600000
1087	1.709400
1088	1.511000
1089	1.711500
1090	1.734600
1091	1.877100
1092	1.634400
1093	1.953000
1094	1.648000
1095	1.780000
1096	1.638300
1097	1.845800
1098	1.585900
1099	1.833700
1100	1.629600
1101	1.329000
1102	1.982000
1103	2.037200
1104	1.860600
1105	1.853700
1106	2.068200
1107	1.719500
1108	1.866100
1109	1.832700
1110	1.651700
1111	1.838000
1112	2.164900
1113	1.973800
1114	1.567100
1115	1.622400
1116	1.684200
1117	1.187400
1118	1.934900
1119	1.438700
1120	1.669800
1121	1.885900
1122	1.849900
1123	1.902200
1124	1.567000
1125	1.554700
1126	1.612200
1127	1.831200
1128	2.133400
1129	1.897000
1130	1.743300
1131	1.770900
1132	1.461200
1133	1.748800
1134	1.600300
1135	1.694200
1136	1.735500
1137	1.574400
1138	1.473400
1139	1.405900
1140	1.972200
1141	1.839400
1142	1.746400
1143	1.791700
1144	1.765800
1145	1.566900
1146	1.759200
1147	1.749100
1148	2.102800
1149	1.718000
1150	1.687500
1151	1.843800
1152	1.758100
1153	1.859100
1154	1.771000
1155	1.976100
1156	1.814200
1157	1.790700
1158	1.519900
1159	2.018200
1160	1.862300
1161	1.862100
1162	1.763900
1163	1.578900
1164	1.827900
1165	2.010400
1166	1.869300
1167	1.900800
1168	1.698100
1169	1.691000
1170	1.973300
1171	1.602700
1172	1.886100
1173	1.628400
1174	1.677100
1175	1.836100
1176	2.001300
1177	1.781400
1178	2.017500
1179	2.016000
1180	1.879600
1181	2.089100
1182	2.071400
1183	1.611600
1184	1.675700
1185	1.919800
1186	1.836700
1187	1.807000
1188	1.627900
1189	1.909100
1190	1.886100
1191	1.466200
1192	1.448900
1193	1.769700
1194	1.952600
1195	1.731700
1196	1.632300
1197	1.142700
1198	2.058700
1199	1.761900
